[2023-08-08 01:46:55.723949] ID: 1094304777; ADMIN: True; USER_NAME: FDX_VI; command: /db all
[2023-08-08 01:46:58.008567] ID: 1094304777; ADMIN: True; USER_NAME: FDX_VI; callback: ad_close_info
[2023-08-08 01:46:58.962861] ID: 1094304777; ADMIN: True; USER_NAME: FDX_VI; callback: ad_close_info
[2023-08-08 01:47:00.635115] ID: 1094304777; ADMIN: True; USER_NAME: FDX_VI; callback: ad_close_info
[2023-08-08 01:47:33.560342] ID: 1094304777; ADMIN: True; USER_NAME: FDX_VI; command: /dz
[2023-08-08 01:47:38.893516] ID: 1094304777; ADMIN: True; USER_NAME: FDX_VI; callback: ad_date
[2023-08-08 01:47:41.521255] ID: 1094304777; ADMIN: True; USER_NAME: FDX_VI; callback: rk_cnl
[2023-08-08 01:47:43.525598] ID: 1094304777; ADMIN: True; USER_NAME: FDX_VI; callback: ad_tek
[2023-08-08 01:47:44.489333] ID: 1094304777; ADMIN: True; USER_NAME: FDX_VI; callback: ad_tek_lin
[2023-08-08 01:47:46.495071] ID: 1094304777; ADMIN: True; USER_NAME: FDX_VI; callback: tek_cnl
[2023-08-08 01:49:27.548883] ID: 1094304777; ADMIN: True; USER_NAME: FDX_VI; command: /attend
[2023-08-08 01:49:29.940970] ID: 1094304777; ADMIN: True; USER_NAME: FDX_VI; callback: attend_cnl
[2023-08-08 02:02:09.449934] ID: 1094304777; ADMIN: True; USER_NAME: FDX_VI; command: /arg
[2023-08-08 02:02:12.233181] ID: 1094304777; ADMIN: True; USER_NAME: FDX_VI; callback: ad_close_info
[2023-08-08 02:02:19.832633] ID: 1094304777; ADMIN: True; USER_NAME: FDX_VI; command: /arg ss
[2023-08-08 02:02:21.341593] ID: 1094304777; ADMIN: True; USER_NAME: FDX_VI; callback: ad_close_info
[2023-08-08 02:02:33.040284] ID: 1094304777; ADMIN: True; USER_NAME: FDX_VI; command: /arg info
[2023-08-08 02:02:40.948756] ID: 1094304777; ADMIN: True; USER_NAME: FDX_VI; callback: ad_close_info
[2023-08-08 02:08:26.479169] ID: 1094304777; ADMIN: True; USER_NAME: FDX_VI; command: /db
[2023-08-08 02:09:38.105147] ID: 1094304777; ADMIN: True; USER_NAME: FDX_VI; callback: ad_close_info
[2023-08-08 02:09:43.748352] ID: 1094304777; ADMIN: True; USER_NAME: FDX_VI; command: /arg info
[2023-08-08 02:10:06.592131] ID: 1094304777; ADMIN: True; USER_NAME: FDX_VI; callback: ad_close_info
[2023-08-08 02:11:42.605204] ID: 1094304777; ADMIN: True; USER_NAME: FDX_VI; command: /arg
[2023-08-08 02:11:42.605687] ID: 1094304777; ADMIN: True; USER_NAME: FDX_VI; command: /arg
[2023-08-08 02:11:45.707751] ID: 1094304777; ADMIN: True; USER_NAME: FDX_VI; callback: ad_close_info
[2023-08-08 02:11:46.709131] ID: 1094304777; ADMIN: True; USER_NAME: FDX_VI; callback: ad_close_info
[2023-08-08 02:11:55.812459] ID: 1094304777; ADMIN: True; USER_NAME: FDX_VI; command: /arg
[2023-08-08 02:11:57.519336] ID: 1094304777; ADMIN: True; USER_NAME: FDX_VI; callback: ad_close_info
[2023-08-08 02:12:03.775344] ID: 1094304777; ADMIN: True; USER_NAME: FDX_VI; command: /arg sui
[2023-08-08 02:12:04.896645] ID: 1094304777; ADMIN: True; USER_NAME: FDX_VI; callback: ad_close_info
[2023-08-08 02:12:12.343074] ID: 1094304777; ADMIN: True; USER_NAME: FDX_VI; command: /db
[2023-08-08 02:12:31.865047] ID: 1094304777; ADMIN: True; USER_NAME: FDX_VI; command: /del 1094304777
[2023-08-08 02:12:39.786204] ID: 1094304777; ADMIN: True; USER_NAME: FDX_VI; command: /reg
[2023-08-08 02:13:09.041058] ID: 1094304777; ADMIN: True; USER_NAME: FDX_VI; command: /db
[2023-08-08 02:13:13.162581] ID: 1094304777; ADMIN: True; USER_NAME: FDX_VI; callback: ad_close_info
[2023-08-08 02:14:28.358035] ID: 1094304777; ADMIN: True; USER_NAME: FDX_VI; command: /del 1023832280
[2023-08-08 02:14:51.440551] ID: 1094304777; ADMIN: True; USER_NAME: FDX_VI; callback: ad_close_info
[2023-08-08 02:14:58.314458] ID: 1094304777; ADMIN: True; USER_NAME: FDX_VI; command: /arg 1023832280 Nikita SkyFall_77
[2023-08-08 02:26:56.696866] ID: 1094304777; ADMIN: True; USER_NAME: FDX_VI; callback: ad_close_info
[2023-08-08 02:26:56.928345] ID: 1094304777; ADMIN: True; USER_NAME: FDX_VI; callback: ad_close_info
[2023-08-08 04:10:12.821193] ID: 1061066009; ADMIN: False; USER_NAME: mar_enko; command: /start
[2023-08-08 04:10:30.675496] ID: 1061066009; ADMIN: False; USER_NAME: mar_enko; command: /reg
[2023-08-08 04:18:13.518128] ID: 1094304777; ADMIN: True; USER_NAME: FDX_VI; callback: rg_accept_ID:1061066009_NM:Daria_UN:mar_enko
[2023-08-08 04:18:20.550997] ID: 1094304777; ADMIN: True; USER_NAME: FDX_VI; callback: ad_tek_phys
[2023-08-08 04:18:22.046816] ID: 1094304777; ADMIN: True; USER_NAME: FDX_VI; callback: tek_cnl
[2023-08-08 04:18:27.698263] ID: 1094304777; ADMIN: True; USER_NAME: FDX_VI; command: /start
[2023-08-08 04:18:29.265069] ID: 1094304777; ADMIN: True; USER_NAME: FDX_VI; callback: main_menu
[2023-08-08 04:18:31.002650] ID: 1094304777; ADMIN: True; USER_NAME: FDX_VI; callback: mm_okay
[2023-08-08 04:31:16.084471] ID: 1061066009; ADMIN: False; USER_NAME: mar_enko; command: /start
[2023-08-08 04:31:21.838024] ID: 1061066009; ADMIN: False; USER_NAME: mar_enko; callback: main_menu
[2023-08-08 05:49:47.995550] ID: 1909812069; ADMIN: True; USER_NAME: Dev_masha; command: /start
[2023-08-08 05:49:52.934948] ID: 1909812069; ADMIN: True; USER_NAME: Dev_masha; command: /reg
[2023-08-08 05:50:36.745121] ID: 1909812069; ADMIN: True; USER_NAME: Dev_masha; command: /DZ
[2023-08-08 05:51:08.133316] ID: 1909812069; ADMIN: True; USER_NAME: Dev_masha; callback: ad_close_info
[2023-08-08 05:51:12.162770] ID: 1909812069; ADMIN: True; USER_NAME: Dev_masha; command: /attend
